"Date","Price","Open","High","Low","Change %"
"Mar 08, 2018","6.3433","6.3190","6.3454","6.3170","0.37%"
"Mar 07, 2018","6.3199","6.3091","6.3301","6.3076","0.15%"
"Mar 06, 2018","6.3104","6.3355","6.3465","6.3070","-0.39%"
"Mar 05, 2018","6.3349","6.3280","6.3438","6.3222","0.09%"
"Mar 02, 2018","6.3289","6.3490","6.3674","6.3239","-0.30%"
"Mar 01, 2018","6.3479","6.3308","6.3692","6.3299","0.26%"
"Feb 28, 2018","6.3312","6.3257","6.3343","6.3197","0.08%"
"Feb 27, 2018","6.3262","6.2954","6.3286","6.2877","0.49%"
"Feb 26, 2018","6.2951","6.3273","6.3322","6.2941","-0.51%"
"Feb 23, 2018","6.3275","6.3348","6.3442","6.3242","-0.11%"
"Feb 22, 2018","6.3343","6.3385","6.3556","6.3280","-0.06%"
"Feb 21, 2018","6.3380","6.3422","6.3477","6.3136","-0.04%"
"Feb 20, 2018","6.3406","6.3041","6.3418","6.3026","0.56%"
"Feb 19, 2018","6.3055","6.2981","6.3103","6.2901","0.12%"
"Feb 16, 2018","6.2982","6.2818","6.3022","6.2693","0.26%"
"Feb 15, 2018","6.2818","6.3119","6.3139","6.2799","-0.49%"
"Feb 14, 2018","6.3125","6.3332","6.3514","6.3071","-0.34%"
"Feb 13, 2018","6.3342","6.3247","6.3499","6.3200","0.16%"
"Feb 12, 2018","6.3238","6.3145","6.3452","6.2970","0.15%"
"Feb 09, 2018","6.3145","6.3624","6.3729","6.3013","-0.78%"
"Feb 08, 2018","6.3639","6.3209","6.3792","6.2966","0.70%"
"Feb 07, 2018","6.3199","6.2813","6.3258","6.2558","0.61%"
"Feb 06, 2018","6.2814","6.3115","6.3199","6.2754","-0.48%"
"Feb 05, 2018","6.3120","6.3126","6.3186","6.2828","-0.01%"
"Feb 02, 2018","6.3129","6.2912","6.3156","6.2770","0.35%"
"Feb 01, 2018","6.2910","6.2982","6.3129","6.2868","-0.13%"
"Jan 31, 2018","6.2992","6.3286","6.3373","6.2844","-0.48%"
"Jan 30, 2018","6.3298","6.3374","6.3516","6.3197","-0.13%"
"Jan 29, 2018","6.3380","6.3205","6.3490","6.3136","0.19%"
"Jan 26, 2018","6.3258","6.3288","6.3427","6.3114","-0.06%"
"Jan 25, 2018","6.3295","6.3496","6.3601","6.2965","-0.31%"
"Jan 24, 2018","6.3489","6.3975","6.4000","6.3455","-0.78%"
"Jan 23, 2018","6.3986","6.4018","6.4138","6.3897","-0.10%"
"Jan 22, 2018","6.4047","6.4023","6.4162","6.3957","0.07%"
"Jan 19, 2018","6.4002","6.4199","6.4214","6.3875","-0.33%"
"Jan 18, 2018","6.4213","6.4314","6.4435","6.4164","-0.17%"
"Jan 17, 2018","6.4322","6.4381","6.4444","6.4150","-0.08%"
"Jan 16, 2018","6.4371","6.4295","6.4478","6.4237","0.10%"
"Jan 15, 2018","6.4305","6.4592","6.4608","6.4150","-0.46%"
"Jan 12, 2018","6.4601","6.4897","6.4969","6.4597","-0.49%"
"Jan 11, 2018","6.4921","6.5241","6.5291","6.4893","-0.47%"
"Jan 10, 2018","6.5228","6.5320","6.5453","6.5084","-0.19%"
